question_number,question_title,question_code,expected_output,difficulty,points
1,"Logical AND Condition","#include <stdio.h>
int main() {
    int a = 5, b = 10;
    if(a < b && b > 5)
        printf(""%d"", a + b);
    else
        printf(""%d"", a - b);
    return 0;
}","15","Easy",5
2,"Array Element Sum","#include <stdio.h>
int main() {
    int arr[] = {1, 2, 3, 4, 5};
    printf(""%d"", arr[2] + arr[4]);
    return 0;
}","8","Easy",5
3,"String Length Counter","#include <stdio.h>
int main() {
    char str[] = ""TEST"";
    int count = 0;
    for(int i = 0; str[i] != '\0'; i++)
        count++;
    printf(""%d"", count);
    return 0;
}","4","Easy",5
4,"Switch Case","#include <stdio.h>
int main() {
    int x = 7;
    switch(x) {
        case 5: printf(""Five""); break;
        case 7: printf(""Seven""); break;
        default: printf(""Other"");
    }
    return 0;
}","Seven","Easy",5
5,"While Loop Sum","#include <stdio.h>
int main() {
    int i = 1, sum = 0;
    while(i <= 5) {
        sum += i;
        i++;
    }
    printf(""%d"", sum);
    return 0;
}","15","Easy",5
6,"Function Multiplication","#include <stdio.h>
int multiply(int a, int b) {
    return a * b;
}
int main() {
    printf(""%d"", multiply(4, 5));
    return 0;
}","20","Easy",5
7,"Even Odd Check","#include <stdio.h>
int main() {
    int num = 10;
    if(num % 2 == 0)
        printf(""Even"");
    else
        printf(""Odd"");
    return 0;
}","Even","Easy",5
8,"Array Loop Print","#include <stdio.h>
int main() {
    int arr[3] = {5, 10, 15};
    for(int i = 0; i < 3; i++)
        printf(""%d "", arr[i]);
    return 0;
}","5 10 15","Easy",5
9,"Ternary Operator","#include <stdio.h>
int main() {
    int x = 3, y = 0;
    y = (x == 3) ? 10 : 20;
    printf(""%d"", y);
    return 0;
}","10","Easy",5
10,"Character ASCII Value","#include <stdio.h>
int main() {
    char ch = 'A';
    printf(""%d"", ch);
    return 0;
}","65","Easy",5
11,"Factorial Calculation","#include <stdio.h>
int main() {
    int n = 3, fact = 1;
    for(int i = 1; i <= n; i++)
        fact *= i;
    printf(""%d"", fact);
    return 0;
}","6","Easy",5
12,"Integer Division","#include <stdio.h>
int main() {
    int a = 15, b = 4;
    printf(""%d"", a / b);
    return 0;
}","3","Easy",5
13,"Addition Assignment","#include <stdio.h>
int main() {
    int x = 10;
    x += 5;
    printf(""%d"", x);
    return 0;
}","15","Easy",5
14,"For Loop Counter","#include <stdio.h>
int main() {
    int i;
    for(i = 0; i < 3; i++)
        printf(""%d "", i);
    return 0;
}","0 1 2","Easy",5
15,"Nested Ternary Operations","#include <stdio.h>
int main() {
    int x = 5, y = 10;
    int z = (x > y) ? (x + y) : (x * y);
    printf(""%d"", z + (x < y ? 5 : 10));
    return 0;
}","55","Hard",10
16,"Array Modification Function","#include <stdio.h>
int modify(int *arr, int n) {
    int sum = 0;
    for(int i = 0; i < n; i++) {
        arr[i] *= 2;
        sum += arr[i];
    }
    return sum;
}
int main() {
    int data[] = {1, 2, 3, 4, 5};
    int total = modify(data, 5);
    printf(""%d %d"", total, data[2]);
    return 0;
}","30 6","Hard",10
17,"2D Array Diagonal Sum","#include <stdio.h>
int main() {
    int arr[3][3] = {{1, 2, 3}, {4, 5, 6}, {7, 8, 9}};
    int result = 0;
    for(int i = 0; i < 3; i++) {
        for(int j = 0; j < 3; j++) {
            if(i + j == 3 || i == j)
                result += arr[i][j];
        }
    }
    printf(""%d"", result);
    return 0;
}","27","Hard",10
18,"String Reverse Pattern","#include <stdio.h>
int main() {
    char str[] = ""PROGRAM"";
    int len = 0;
    while(str[len] != '\0') len++;
    for(int i = len - 1; i >= 0; i -= 2)
        printf(""%c"", str[i]);
    return 0;
}","MRGO","Hard",10
19,"Recursive Power Function","#include <stdio.h>
int power(int base, int exp) {
    if(exp == 0) return 1;
    return base * power(base, exp - 1);
}
int main() {
    printf(""%d"", power(2, 4) + power(3, 2));
    return 0;
}","25","Hard",10
20,"Switch Fall Through Addition","#include <stdio.h>
int main() {
    int x = 15;
    switch(x / 5) {
        case 1: x += 5;
        case 2: x += 10;
        case 3: x += 15; break;
        default: x += 20;
    }
    printf(""%d"", x);
    return 0;
}","45","Hard",10
21,"Number Reversal","#include <stdio.h>
int main() {
    int n = 123, rev = 0;
    do {
        rev = rev * 10 + n % 10;
        n /= 10;
    } while(n > 0);
    printf(""%d"", rev);
    return 0;
}","321","Hard",10
22,"Global vs Local Variable","#include <stdio.h>
int global = 100;
void test(int global) {
    global += 50;
    printf(""%d "", global);
}
int main() {
    test(20);
    printf(""%d"", global);
    return 0;
}","70 100","Hard",10
23,"String Comparison","#include <stdio.h>
int main() {
    char str1[] = ""CODE"", str2[] = ""CODE"";
    int diff = 0;
    for(int i = 0; str1[i] != '\0'; i++)
        diff += (str1[i] - str2[i]);
    printf(""%d"", diff);
    return 0;
}","0","Hard",10
24,"Pointer Arithmetic","#include <stdio.h>
int main() {
    int matrix[2][3] = {{10, 20, 30}, {40, 50, 60}};
    int *ptr = &matrix[0][0];
    printf(""%d %d"", *(ptr + 3), *(ptr + 5));
    return 0;
}","40 60","Hard",10
25,"Pointer Swap Function","#include <stdio.h>
void swap(int *a, int *b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}
int main() {
    int x = 5, y = 10;
    swap(&x, &y);
    printf(""%d %d"", x, y);
    return 0;
}","10 5","Hard",10
26,"Alternating Sum","#include <stdio.h>
int main() {
    int arr[] = {5, 10, 15, 20, 25, 30};
    int sum = 0;
    for(int i = 0; i < 6; i++) {
        if(i % 2 == 0)
            sum += arr[i];
        else
            sum -= arr[i];
    }
    printf(""%d"", sum);
    return 0;
}","15","Hard",10
27,"Alphabetic Character Count","#include <stdio.h>
int main() {
    char title[] = ""C TITANS"";
    int alpha = 0;
    for(int i = 0; title[i] != '\0'; i++) {
        if((title[i] >= 'A' && title[i] <= 'Z') || 
           (title[i] >= 'a' && title[i] <= 'z'))
            alpha++;
    }
    printf(""%d"", alpha);
    return 0;
}","7","Hard",10
28,"Nested If Addition","#include <stdio.h>
int main() {
    int x = 10, y = 20, z = 30;
    if(x < y)
        if(y < z)
            printf(""%d"", x + y);
        else
            printf(""%d"", y - x);
    else
        printf(""%d"", z);
    return 0;
}","30","Hard",10
29,"Static Variable Function","#include <stdio.h>
int compute() {
    static int val = 5;
    val += 3;
    return val;
}
int main() {
    printf(""%d "", compute());
    printf(""%d "", compute());
    printf(""%d"", compute());
    return 0;
}","8 11 14","Hard",10
30,"String Case Conversion","#include <stdio.h>
int main() {
    char str[] = ""HELLO"";
    for(int i = 0; str[i] != '\0'; i++) {
        if(str[i] >= 'A' && str[i] <= 'Z')
            str[i] += 32;
    }
    printf(""%s"", str);
    return 0;
}","hello","Hard",10
31,"While Loop Factorial","#include <stdio.h>
int main() {
    int num = 5, fact = 1;
    while(num > 0) {
        fact *= num;
        num--;
    }
    printf(""%d"", fact);
    return 0;
}","120","Hard",10
32,"Nested Ternary Logic","#include <stdio.h>
int main() {
    int a = 10, b = 20;
    int result = (a > b) ? a : ((b > 15) ? b : a);
    printf(""%d"", result);
    return 0;
}","20","Hard",10
33,"Array Product with Step","#include <stdio.h>
int main() {
    int arr[5] = {2, 4, 6, 8, 10};
    int prod = 1;
    for(int i = 0; i < 5; i += 2)
        prod *= arr[i];
    printf(""%d"", prod);
    return 0;
}","60","Hard",10
34,"For Loop with Continue","#include <stdio.h>
int main() {
    int n = 5, sum = 0;
    for(int i = 1; i <= n; i++) {
        if(i == 3)
            continue;
        sum += i;
    }
    printf(""%d"", sum);
    return 0;
}","12","Hard",10
35,"Switch Modulo with Fall Through","#include <stdio.h>
int main() {
    int x = 8;
    switch(x % 3) {
        case 0: printf(""Zero ""); break;
        case 1: printf(""One "");
        case 2: printf(""Two ""); break;
    }
    return 0;
}","Two","Hard",10